70	100
27	61	66	48	31	16	65	69	59	38	62	10	53	47	52	41	57	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	21	39	28	56	45	64	50	36	19	63	13	58	26	49	3	67	1	4	18	25	30	9	23	29	7	8	11	33	44	6	60	43	70	46	55	2	5	14	40	20	32	42	24	51	54	17	35	34	15	22	12	68	37
51723
0	0	2	2	1	0	2	2	1	0	2	2	1	2	1	1	2	2	1	2	0	0	3	3	1	2	0	0	1	3	0	2	0	1	1	1	2	1	0	1	0	0	2	3	0	2	0	0	1	0	1	0	1	1	3	1	0	2	1	1	0	1	0	1	0	1	2	0	1	2
0	0	3	1	6	2	3	4	2	1	4	4	2	6	2	2	4	4	1	5	0	3	4	5	3	2	3	0	1	4	2	7	1	4	3	0	4	2	1	2	0	1	5	4	1	4	0	2	2	1	2	1	1	3	6	1	0	2	4	3	1	1	1	1	2	5	2	3	2	2
2	3	0	2	2	1	1	2	1	1	2	0	0	1	1	1	0	0	1	2	0	1	3	0	1	1	1	1	1	1	1	1	2	2	1	2	0	0	0	2	1	2	2	2	0	0	0	1	3	1	2	2	1	1	1	1	0	3	0	1	1	2	2	0	1	0	2	1	1	2
2	1	2	0	1	1	2	1	2	0	2	0	0	1	2	1	2	1	0	2	0	1	1	2	1	0	1	0	0	1	1	3	1	1	1	0	0	0	0	1	0	1	1	2	0	1	0	1	2	0	1	0	0	2	2	0	0	0	1	2	1	0	0	1	0	1	1	0	0	1
1	6	2	1	0	3	4	2	2	1	2	4	1	4	3	3	5	2	2	4	0	4	4	1	1	2	3	0	2	1	2	4	3	4	4	0	2	1	0	3	0	4	1	3	2	1	0	3	0	1	2	1	1	3	5	1	1	2	1	4	3	1	0	1	1	0	1	1	0	4
0	2	1	1	3	0	1	2	1	1	3	1	1	2	1	0	3	1	0	2	0	1	2	2	1	1	1	0	1	2	1	3	1	3	1	0	2	1	0	2	0	0	4	3	0	2	0	1	2	0	1	1	1	1	2	1	0	1	1	1	0	1	1	0	1	3	2	2	1	1
2	3	1	2	4	1	0	3	2	1	3	1	1	1	1	0	1	1	2	3	0	1	2	2	1	3	0	1	1	2	2	3	1	1	1	2	0	0	2	3	1	2	3	3	1	2	1	3	1	0	1	0	1	2	3	0	0	1	1	2	2	2	2	1	0	2	2	2	1	1
2	4	2	1	2	2	3	0	2	0	3	2	0	1	1	0	1	1	1	2	0	2	2	1	2	1	2	2	2	2	1	3	2	2	3	1	2	1	0	3	0	2	3	2	0	2	0	1	2	2	3	0	0	2	2	1	0	3	1	3	2	2	1	0	1	1	1	2	0	1
1	2	1	2	2	1	2	2	0	0	2	1	1	1	1	2	2	1	1	3	0	2	3	1	2	2	2	0	1	1	0	3	1	2	2	0	1	0	0	2	0	1	3	3	2	1	0	2	2	2	2	0	1	2	2	1	0	2	1	3	1	0	0	0	0	1	2	1	1	1
0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	2	1	2	1	2	2	1	0	1	1	1	1	0	1	2	1	1	2	1	1	0	0	2	0	1	1	1	0	0	1	1	0	1	0	0	1	1	0	0	0	2	1	0	0	1	1	0	1	3	1	2	1	0
2	4	2	2	2	3	3	3	2	1	0	2	1	3	2	1	2	3	2	3	1	3	4	3	1	4	1	0	3	3	1	3	3	2	4	2	0	0	0	3	1	3	2	3	1	2	2	1	0	2	2	1	0	2	4	0	0	3	2	3	2	1	1	2	2	0	2	2	0	1
2	4	0	0	4	1	1	2	1	0	2	0	1	2	2	2	2	1	0	3	0	3	1	3	1	1	3	1	2	1	3	4	1	3	4	1	3	2	0	4	0	3	3	1	0	3	1	2	0	0	2	0	1	2	3	0	0	2	1	1	2	0	2	0	2	3	1	4	2	1
1	2	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	2	0	1	2	1	1	1	1	1	2	0	1	2	1	0	2	1	1	0	0	2	0	1	1	1	0	0	1	1	1	0	0	0	0	2	1	0	0	2	0	1	1	1	2	0	1	1	1	2	2	0
2	6	1	1	4	2	1	1	1	1	3	2	0	0	2	2	2	2	1	3	0	3	2	1	2	1	2	1	2	2	2	3	3	1	4	2	2	2	0	4	1	2	3	3	0	1	1	2	2	1	3	0	2	2	2	0	0	4	1	2	2	1	2	0	1	2	1	4	3	0
1	2	1	2	3	1	1	1	1	1	2	2	0	2	0	1	2	0	0	3	0	3	1	2	1	1	2	0	1	1	1	4	2	3	3	1	3	1	0	3	0	1	2	3	1	3	1	2	1	0	2	0	1	3	3	1	0	1	1	2	1	1	1	0	1	3	0	3	2	2
1	2	1	1	3	0	0	0	2	0	1	2	0	2	1	0	3	0	0	2	0	2	2	3	0	0	1	0	2	1	1	2	1	2	2	1	2	0	1	2	0	2	2	1	0	2	0	2	0	0	2	1	1	1	1	0	0	0	0	1	2	1	1	0	1	2	1	3	1	0
2	4	0	2	5	3	1	1	2	0	2	2	0	2	2	3	0	1	0	4	1	4	1	3	1	1	2	0	3	1	3	4	3	3	4	2	3	1	1	4	0	3	3	2	0	2	1	2	0	0	2	1	1	2	2	0	0	2	1	2	3	1	2	1	3	3	0	4	2	2
2	4	0	1	2	1	1	1	1	2	3	1	1	2	0	0	1	0	2	2	0	0	4	1	1	2	0	0	1	1	1	2	2	2	2	2	1	2	0	3	0	1	2	3	1	0	0	0	3	1	1	0	1	1	2	1	0	2	0	1	1	2	2	0	1	0	2	2	1	1
1	1	1	0	2	0	2	1	1	1	2	0	1	1	0	0	0	2	0	1	0	0	3	1	1	3	0	0	2	2	0	1	1	0	0	1	0	0	0	1	0	2	1	3	1	1	1	0	1	0	0	0	0	1	1	0	0	2	1	1	0	2	1	0	0	1	2	1	1	0
2	5	2	2	4	2	3	2	3	2	3	3	2	3	3	2	4	2	1	0	0	4	3	3	2	0	3	1	2	1	2	4	2	4	4	1	3	1	0	4	2	4	2	4	1	3	2	3	1	1	3	1	1	4	5	1	1	1	2	4	3	2	1	1	1	3	2	1	1	3
0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
0	3	1	1	4	1	1	2	2	2	3	3	1	3	3	2	4	0	0	4	0	0	0	4	1	1	3	0	2	2	3	6	2	4	4	1	4	1	0	3	1	1	4	2	1	2	2	2	2	0	2	2	1	3	3	1	0	1	2	2	2	3	1	0	3	4	2	3	3	2
3	4	3	1	4	2	2	2	3	2	4	1	2	2	1	2	1	4	3	3	1	0	0	2	2	3	1	0	3	3	0	3	2	1	1	0	2	1	1	2	1	3	3	4	2	2	1	2	2	2	2	0	1	2	3	0	0	3	1	3	1	2	1	1	0	2	4	2	1	1
3	5	0	2	1	2	2	1	1	1	3	3	1	1	2	3	3	1	1	3	0	4	2	0	1	2	3	0	3	2	3	3	2	3	4	1	2	2	0	4	0	5	3	3	2	1	1	2	1	1	3	1	2	2	4	1	1	1	1	3	2	1	1	1	2	1	1	2	1	2
1	3	1	1	1	1	1	2	2	0	1	1	1	2	1	0	1	1	1	2	0	1	2	1	0	2	1	0	1	1	1	2	2	1	2	1	0	1	0	2	0	1	2	2	0	1	0	1	0	0	2	0	0	1	3	0	0	2	0	2	2	1	0	0	1	0	1	0	1	0
2	2	1	0	2	1	3	1	2	1	4	1	1	1	1	0	1	2	3	0	1	1	3	2	2	0	0	0	2	2	0	1	1	1	0	1	0	0	0	2	0	2	1	3	0	1	1	0	2	2	0	0	1	1	1	1	0	3	0	1	0	2	2	1	1	0	3	2	2	2
0	3	1	1	3	1	0	2	2	1	1	3	1	2	2	1	2	0	0	3	0	3	1	3	1	0	0	0	1	1	2	3	1	2	3	1	3	1	0	2	0	2	3	2	0	2	1	2	1	0	2	0	1	2	2	0	0	0	1	1	2	1	1	0	2	2	1	2	2	1
0	0	1	0	0	0	1	2	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
1	1	1	0	2	1	1	2	1	1	3	2	2	2	1	2	3	1	2	2	0	2	3	3	1	2	1	0	0	3	0	2	0	3	0	0	2	1	0	1	0	1	3	2	2	2	0	2	1	0	0	1	1	1	2	0	0	1	1	2	1	1	1	1	1	1	1	1	1	2
3	4	1	1	1	2	2	2	1	0	3	1	0	2	1	1	1	1	2	1	1	2	3	2	1	2	1	1	3	0	2	1	2	1	2	1	1	0	1	3	0	2	0	2	0	2	0	1	1	1	1	0	0	2	2	1	0	2	0	3	2	1	1	1	0	0	2	2	1	1
0	2	1	1	2	1	2	1	0	1	1	3	1	2	1	1	3	1	0	2	0	3	0	3	1	0	2	0	0	2	0	2	1	2	2	0	2	1	0	2	0	2	1	1	0	2	0	2	1	0	2	0	0	2	2	0	0	0	1	2	1	3	0	0	2	2	1	1	2	2
