75	100
32	70	45	4	75	31	43	68	13	21	66	53	17	34	19	3	24	12	71	37	55	7	62	22	8	74	42	26	15	18	27	35	41	56	65	30	25	44	11	57	40	28	72	50	23	49	48	14	6	61	20	36	46	60	2	64	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	67	9	58	38	69	47	29	33	16	59	63	52	5	54	39	73	51	1	10
66630
0	1	4	2	1	0	2	2	0	1	1	4	2	1	1	0	2	1	3	0	2	2	0	2	1	1	1	1	1	1	1	2	1	2	1	0	2	0	0	2	2	1	1	1	2	1	0	1	0	0	1	1	2	2	2	0	1	0	1	0	1	1	1	0	1	2	0	2	0	2	2	1	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	2	0	0	0	1	1	0	2	0	2	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	0	0	2	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
4	1	0	6	3	1	6	6	1	5	3	12	5	1	4	2	7	4	9	2	5	5	2	9	3	4	5	3	3	4	6	6	3	6	4	2	7	1	3	4	4	6	5	4	6	2	1	3	2	2	4	3	7	4	8	4	3	2	2	2	2	6	3	0	4	6	1	6	2	4	8	3	3	4	4
2	1	6	0	1	0	3	3	1	2	1	5	3	1	2	0	3	1	4	1	2	1	1	3	1	1	2	2	1	2	3	2	2	3	2	1	3	1	1	0	2	2	2	2	3	1	0	1	0	0	2	1	3	1	2	1	0	2	1	1	1	3	1	0	3	2	1	2	2	2	4	2	2	1	2
1	1	3	1	0	2	1	1	1	2	1	3	1	0	1	0	2	1	2	1	2	2	0	2	1	1	1	0	1	1	2	1	1	2	2	0	2	0	1	2	2	1	1	0	2	0	1	1	1	1	2	1	1	0	2	0	0	0	0	0	0	2	0	0	0	2	1	2	0	0	2	1	1	1	2
0	0	1	0	2	0	1	2	0	0	1	1	1	1	1	0	2	1	1	0	1	0	1	2	0	0	1	0	1	1	0	0	1	1	2	1	1	0	0	2	2	1	1	2	0	0	0	0	1	0	0	1	1	0	2	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	2	0	0	2	0
2	0	6	3	1	1	0	2	0	2	2	5	2	1	2	1	3	3	4	0	3	3	2	4	2	3	1	2	1	2	2	2	1	3	2	0	4	1	2	2	3	1	1	1	2	0	1	2	1	2	2	2	3	1	5	2	1	1	1	1	1	2	2	1	2	3	0	2	1	1	4	1	1	3	2
2	1	6	3	1	2	2	0	1	2	2	5	1	0	2	1	2	3	3	1	4	4	1	4	2	3	2	2	0	2	2	2	1	2	2	1	3	1	2	3	3	1	2	0	2	0	1	2	1	2	2	0	2	1	4	1	2	0	1	1	0	2	2	1	1	4	0	2	0	2	4	1	1	4	3
0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
1	0	5	2	2	0	2	2	0	0	2	4	2	0	1	0	3	1	3	0	1	1	0	2	1	1	2	0	0	1	1	2	1	2	1	1	3	1	1	1	2	1	2	1	2	1	0	1	0	1	1	1	2	1	3	1	2	0	0	1	1	2	1	0	1	3	2	2	0	2	2	1	0	1	3
