60	100
x	x	x	x	x	x	x	x	x	x	x	x	x	x	20	19	31	22	57	36	39	10	7	55	50	24	23	44	56	33	6	4	40	5	53	27	45	59	48	3	14	17	21	15	58	37	2	35	11	60	42	29	30	26	16	52	18	47	28	1	34	49	54	38	8	25	32	41	9	46	51	43	12	x	x	x	x	x	x	x	x	x	x	x	x	x	x	13	x	x	x	x	x	x	x	x	x	x	x	x
11592
0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	0	1	2	0	1	0	2	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	2	0	1	0	1	0	1	1	2
0	0	1	1	1	1	1	1	0	1	2	0	0	2	1	2	1	2	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	2	0	1	2	1	1	1	1	1	0	0	2	0	1	0	1	2	1	2
0	1	0	1	2	1	1	0	0	1	2	0	0	2	1	1	2	1	0	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	2	1	1	0	1	2	2	3
2	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	1	2	0	1	0	2	0	0	0	0	0	1	1	1
1	1	2	0	0	2	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	1	2	1	0	1	1	1	2	1	0	0	1	1	2	1	2	0	1	1	0	0	0	1	0	0	0	1	2	0	0	1	2	1	1	0	1	1	2	1
0	1	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	2	0	1	0	0	2	1	0	0	1	0	0	0	0	1	0	0	1	2	1	0	0	0	1	1	1
0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1
0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	0	1	0	1
0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	1
0	2	2	0	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	2	0	1	0	1	1	0	2	0	1	0	1	1	1	0	0	0	2	0	1	0	0	0	2	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	2	1	1	0	0	1	0	0	0	0	0	0	2	1	2	1	0	0	1	1	0	0	0	1	2	1	1	3	0	1	1	0	2	0	1	0	0	2	0	1	0	0	1	0	0	2	0	1	0	2	2	0	1	0	0	2	2	1
0	1	1	2	1	0	0	0	0	1	1	1	0	2	0	1	2	1	0	0	2	0	0	1	1	2	1	1	2	1	0	1	1	1	1	0	1	1	0	2	1	2	1	1	2	0	1	1	0	1	0	1	2	0	0	2	0	3	2	2
1	2	1	0	1	0	1	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	2	1	1	1	0	1	0	0	0	1	2	1	1	1	0	2	1	1	1	1	1	1	1	2
1	1	2	0	1	0	1	1	1	1	1	0	0	2	2	1	0	1	1	0	2	0	1	1	0	1	2	1	1	1	0	0	1	0	2	1	2	0	1	1	1	0	0	1	1	2	2	1	1	1	0	1	2	0	0	0	0	1	1	1
1	2	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	1	1	1	0	1	0	0	0	1	1	0	0	1	2	0	2	1	0	0	0	0	1	1	1	1	1	0	2	1	0	1	0	0	1	0	2	1	1	1	0	2	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	1	1	1
0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1
