20	30
x	x	4	12	1	11	16	5	18	15	6	20	19	13	9	14	8	7	3	17	2	10	x	x	x	x	x	x	x	x
12600
0	2	10	10	14	16	6	8	2	10	14	16	2	12	8	20	2	6	16	14
2	0	14	12	20	4	20	20	14	16	4	6	14	6	6	10	14	6	4	10
10	14	0	4	4	16	20	14	10	10	2	18	12	16	10	4	20	10	16	8
10	12	4	0	10	4	4	4	6	4	6	20	8	4	6	16	14	14	4	16
14	20	4	10	0	14	6	6	8	4	16	4	20	14	6	18	2	20	10	8
16	4	16	4	14	0	16	10	20	12	4	16	20	4	14	20	16	18	18	10
6	20	20	4	6	16	0	16	16	18	4	12	20	20	12	2	6	14	18	2
8	20	14	4	6	10	16	0	20	2	14	8	6	16	12	12	18	2	14	16
2	14	10	6	8	20	16	20	0	12	6	10	14	18	16	16	12	20	6	16
10	16	10	4	4	12	18	2	12	0	10	16	12	12	10	4	18	6	2	8
14	4	2	6	16	4	4	14	6	10	0	18	12	20	8	20	10	18	14	8
16	6	18	20	4	16	12	8	10	16	18	0	8	10	6	18	16	2	14	8
2	14	12	8	20	20	20	6	14	12	12	8	0	18	10	20	14	10	14	18
12	6	16	4	14	4	20	16	18	12	20	10	18	0	6	4	12	20	10	8
8	6	10	6	6	14	12	12	16	10	8	6	10	6	0	16	4	14	14	16
20	10	4	16	18	20	2	12	16	4	20	18	20	4	16	0	18	4	6	2
2	14	20	14	2	16	6	18	12	18	10	16	14	12	4	18	0	4	20	14
6	6	10	14	20	18	14	2	20	6	18	2	10	20	14	4	4	0	2	14
16	4	16	4	10	18	18	14	6	2	14	14	14	10	14	6	20	2	0	18
14	10	8	16	8	10	2	16	16	8	8	8	18	8	16	2	14	14	18	0

