15	30
x	x	x	5	1	4	6	7	8	14	9	11	12	13	2	10	15	3	x	x	x	x	x	x	x	x	x	x	x	x
5134
0	2	10	10	14	16	6	8	2	10	14	16	2	12	8
2	0	20	2	6	16	14	14	12	20	4	20	20	14	16
10	20	0	4	6	14	6	6	10	14	6	4	10	4	4
10	2	4	0	16	20	14	10	10	2	18	12	16	10	4
14	6	6	16	0	20	10	16	8	10	4	4	4	6	4
16	16	14	20	20	0	6	20	8	4	6	16	14	14	4
6	14	6	14	10	6	0	16	14	6	6	8	4	16	4
8	14	6	10	16	20	16	0	20	14	6	18	2	20	10
2	12	10	10	8	8	14	20	0	8	16	10	20	12	4
10	20	14	2	10	4	6	14	8	0	16	20	4	14	20
14	4	6	18	4	6	6	6	16	16	0	16	18	18	10
16	20	4	12	4	16	8	18	10	20	16	0	16	16	18
2	20	10	16	4	14	4	2	20	4	18	16	0	4	12
12	14	4	10	6	14	16	20	12	14	18	16	4	0	20
8	16	4	4	4	4	4	10	4	20	10	18	12	20	0

