30	60
x	x	x	x	x	x	x	x	x	29	11	21	4	24	17	13	23	8	9	14	6	30	20	27	16	12	3	25	26	22	1	19	10	2	7	5	18	15	28	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
27673
0	6	4	3	6	8	10	3	9	7	4	12	6	4	4	9	5	6	8	13	5	9	4	7	10	6	8	10	7	6
6	0	6	13	9	5	4	11	6	11	1	5	8	3	6	10	6	4	10	7	5	6	9	4	9	10	2	7	3	4
4	6	0	10	6	6	5	7	8	11	8	10	2	9	8	6	11	6	9	5	2	5	6	8	14	8	11	5	6	3
3	13	10	0	1	7	7	5	10	3	7	7	10	9	6	5	9	5	4	7	9	3	7	12	6	6	6	7	8	6
6	9	6	1	0	1	10	4	4	7	6	7	9	3	4	5	7	5	9	8	5	4	8	7	12	7	9	9	6	6
8	5	6	7	1	0	7	6	12	5	5	9	10	7	4	5	7	7	8	8	5	7	9	3	9	7	8	5	3	9
10	4	5	7	10	7	0	5	8	8	6	8	2	6	8	8	1	4	15	8	3	7	3	2	6	7	8	7	4	10
3	11	7	5	4	6	5	0	10	6	6	7	6	7	1	9	11	8	7	8	4	4	14	11	8	9	6	3	4	7
9	6	8	10	4	12	8	10	0	3	7	4	8	11	9	7	10	3	6	9	7	13	5	6	7	5	6	3	5	6
7	11	11	3	7	5	8	6	3	0	10	13	8	10	7	3	6	6	14	7	3	7	5	6	9	9	8	9	3	4
4	1	8	7	6	5	6	6	7	10	0	6	7	7	3	9	10	3	7	6	6	4	6	6	11	3	6	5	7	6
12	5	10	7	7	9	8	7	4	13	6	0	11	8	5	10	2	4	7	8	8	5	5	14	5	7	8	13	6	7
6	8	2	10	9	10	2	6	8	8	7	11	0	9	5	3	7	7	6	2	8	6	10	9	7	9	6	6	5	6
4	3	9	9	3	7	6	7	11	10	7	8	9	0	6	7	7	6	6	9	7	7	8	7	6	11	6	5	5	8
4	6	8	6	4	4	8	1	9	7	3	5	5	6	0	7	5	8	6	6	4	7	5	3	8	8	8	7	10	5
9	10	6	5	5	5	8	9	7	3	9	10	3	7	7	0	4	6	6	7	5	10	8	5	11	4	8	2	7	8
5	6	11	9	7	7	1	11	10	6	10	2	7	7	5	4	0	7	11	10	9	3	8	15	12	11	6	7	11	6
6	4	6	5	5	7	4	8	3	6	3	4	7	6	8	6	7	0	10	10	8	9	9	3	8	3	5	7	7	4
8	10	9	4	9	8	15	7	6	14	7	7	6	6	6	6	11	10	0	5	8	9	9	7	8	7	6	4	7	8
13	7	5	7	8	8	8	8	9	7	6	8	2	9	6	7	10	10	5	0	6	5	11	7	11	6	15	2	5	12
5	5	2	9	5	5	3	4	7	3	6	8	8	7	4	5	9	8	8	6	0	5	13	5	7	10	7	7	8	3
9	6	5	3	4	7	7	4	13	7	4	5	6	7	7	10	3	9	9	5	5	0	11	6	12	12	7	6	4	3
4	9	6	7	8	9	3	14	5	5	6	5	10	8	5	8	8	9	9	11	13	11	0	14	5	5	2	6	6	10
7	4	8	12	7	3	2	11	6	6	6	14	9	7	3	5	15	3	7	7	5	6	14	0	4	3	8	6	4	2
10	9	14	6	12	9	6	8	7	9	11	5	7	6	8	11	12	8	8	11	7	12	5	4	0	8	7	5	4	5
6	10	8	6	7	7	7	9	5	9	3	7	9	11	8	4	11	3	7	6	10	12	5	3	8	0	6	6	5	7
8	2	11	6	9	8	8	6	6	8	6	8	6	6	8	8	6	5	6	15	7	7	2	8	7	6	0	5	7	7
10	7	5	7	9	5	7	3	3	9	5	13	6	5	7	2	7	7	4	2	7	6	6	6	5	6	5	0	2	6
7	3	6	8	6	3	4	4	5	3	7	6	5	5	10	7	11	7	7	5	8	4	6	4	4	5	7	2	0	8
6	4	3	6	6	9	10	7	6	4	6	7	6	8	5	8	6	4	8	12	3	3	10	2	5	7	7	6	8	0
