13	13
4	12	2	13	1	10	6	11	8	5	7	9	3
4196
0	24	10	15	14	18	14	12	13	16	16	17	22
24	0	16	21	17	20	18	13	16	27	15	19	22
10	16	0	19	14	11	18	6	21	11	14	17	12
15	21	19	0	17	14	21	20	19	21	9	17	19
14	17	14	17	0	17	19	19	16	17	17	14	11
18	20	11	14	17	0	19	15	8	26	16	14	21
14	18	18	21	19	19	0	13	16	9	12	9	8
12	13	6	20	19	15	13	0	20	20	26	17	11
13	16	21	19	16	8	16	20	0	22	14	23	11
16	27	11	21	17	26	9	20	22	0	19	17	19
16	15	14	9	17	16	12	26	14	19	0	15	22
17	19	17	17	14	14	9	17	23	17	15	0	24
22	22	12	19	11	21	8	11	11	19	22	24	0
