20	30
x	x	x	6	16	1	9	10	13	5	14	3	17	15	19	20	2	12	18	11	7	4	8	x	x	x	x	x	x	x
11885
0	8	8	6	12	9	10	11	21	11	6	9	10	10	4	10	12	7	8	7
8	0	9	11	14	7	13	8	13	6	9	13	8	10	12	6	14	10	11	13
8	9	0	11	20	9	4	12	11	11	15	11	9	18	17	12	9	16	16	6
6	11	11	0	8	6	19	14	8	7	14	13	6	10	8	6	12	9	16	9
12	14	20	8	0	10	13	8	9	17	12	9	16	9	9	6	14	13	8	6
9	7	9	6	10	0	8	13	12	8	5	9	8	6	5	6	7	7	14	7
10	13	4	19	13	8	0	9	8	6	17	19	11	7	7	7	6	13	16	7
11	8	12	14	8	13	9	0	5	11	14	7	9	9	16	6	9	6	9	10
21	13	11	8	9	12	8	5	0	18	8	7	8	14	8	13	11	6	12	10
11	6	11	7	17	8	6	11	18	0	9	9	11	11	14	11	10	8	12	11
6	9	15	14	12	5	17	14	8	9	0	7	11	14	12	6	7	13	12	9
9	13	11	13	9	9	19	7	7	9	7	0	6	15	11	6	13	14	12	13
10	8	9	6	16	8	11	9	8	11	11	6	0	15	11	12	5	9	10	16
10	10	18	10	9	6	7	9	14	11	14	15	15	0	7	8	16	9	9	8
4	12	17	8	9	5	7	16	8	14	12	11	11	7	0	12	15	7	19	14
10	6	12	6	6	6	7	6	13	11	6	6	12	8	12	0	6	8	8	3
12	14	9	12	14	7	6	9	11	10	7	13	5	16	15	6	0	12	15	14
7	10	16	9	13	7	13	6	6	8	13	14	9	9	7	8	12	0	9	11
8	11	16	16	8	14	16	9	12	12	12	12	10	9	19	8	15	9	0	16
7	13	6	9	6	7	7	10	10	11	9	13	16	8	14	3	14	11	16	0
