14	20
4	10	11	5	9	3	7	13	2	6	1	14	12	x	x	x	x	x	x	8
6179
0	20	14	14	14	14	13	14	13	15	15	15	18	18
20	0	20	13	13	21	13	17	17	9	16	15	17	18
14	20	0	14	22	15	19	14	20	19	10	14	17	16
14	13	14	0	18	13	12	19	12	11	17	9	13	16
14	13	22	18	0	18	15	15	16	23	14	13	16	14
14	21	15	13	18	0	20	12	14	14	18	26	12	16
13	13	19	12	15	20	0	11	19	6	17	10	14	13
14	17	14	19	15	12	11	0	11	15	13	16	10	13
13	17	20	12	16	14	19	11	0	24	23	17	18	15
15	9	19	11	23	14	6	15	24	0	24	14	12	10
15	16	10	17	14	18	17	13	23	24	0	5	16	14
15	15	14	9	13	26	10	16	17	14	5	0	11	26
18	17	17	13	16	12	14	10	18	12	16	11	0	19
18	18	16	16	14	16	13	13	15	10	14	26	19	0
