25	30
1	23	12	6	24	7	10	25	11	5	3	9	15	14	21	13	4	x	x	x	x	x	2	18	19	17	22	20	16	8
18011
0	9	12	8	6	11	10	13	6	6	10	9	4	4	6	11	6	7	10	7	11	6	12	8	9
9	0	4	9	17	10	9	10	6	6	8	10	13	10	13	11	13	12	10	10	11	5	10	9	2
12	4	0	8	12	11	6	4	13	3	12	8	8	13	11	8	8	7	9	9	9	10	12	6	10
8	9	8	0	11	9	6	5	10	6	9	5	13	7	9	10	5	9	15	2	7	5	6	5	8
6	17	12	11	0	8	11	13	12	11	13	13	6	13	13	12	7	5	8	9	7	10	6	7	10
11	10	11	9	8	0	9	6	10	9	6	10	6	7	12	10	13	5	5	7	3	6	8	15	10
10	9	6	6	11	9	0	7	9	10	10	10	8	11	12	14	4	8	9	4	9	6	13	23	7
13	10	4	5	13	6	7	0	7	5	12	12	8	11	5	16	12	9	13	7	6	10	12	12	10
6	6	13	10	12	10	9	7	0	12	9	8	9	12	10	7	8	7	9	6	12	7	10	14	10
6	6	3	6	11	9	10	5	12	0	7	10	4	4	7	7	7	5	7	2	5	5	7	12	12
10	8	12	9	13	6	10	12	9	7	0	7	7	6	11	7	9	6	8	9	9	6	8	5	10
9	10	8	5	13	10	10	12	8	10	7	0	9	7	5	9	6	6	8	9	7	6	10	8	5
4	13	8	13	6	6	8	8	9	4	7	9	0	9	13	6	8	6	7	6	14	7	10	8	5
4	10	13	7	13	7	11	11	12	4	6	7	9	0	6	10	4	10	6	4	15	7	6	8	5
6	13	11	9	13	12	12	5	10	7	11	5	13	6	0	7	7	9	10	3	9	5	9	7	8
11	11	8	10	12	10	14	16	7	7	7	9	6	10	7	0	12	8	11	7	7	12	10	4	4
6	13	8	5	7	13	4	12	8	7	9	6	8	4	7	12	0	9	14	9	9	8	7	9	6
7	12	7	9	5	5	8	9	7	5	6	6	6	10	9	8	9	0	15	12	8	10	9	8	8
10	10	9	15	8	5	9	13	9	7	8	8	7	6	10	11	14	15	0	11	11	9	9	8	11
7	10	9	2	9	7	4	7	6	2	9	9	6	4	3	7	9	12	11	0	4	9	13	12	7
11	11	9	7	7	3	9	6	12	5	9	7	14	15	9	7	9	8	11	4	0	11	8	11	7
6	5	10	5	10	6	6	10	7	5	6	6	7	7	5	12	8	10	9	9	11	0	9	10	8
12	10	12	6	6	8	13	12	10	7	8	10	10	6	9	10	7	9	9	13	8	9	0	13	7
8	9	6	5	7	15	23	12	14	12	5	8	8	8	7	4	9	8	8	12	11	10	13	0	10
9	2	10	8	10	10	7	10	10	12	10	5	5	5	8	4	6	8	11	7	7	8	7	10	0
