15	30
x	x	x	x	x	x	x	x	x	x	x	x	x	13	9	7	15	1	14	2	3	5	12	11	10	8	6	4	x	x
7359
0	19	14	13	17	10	12	10	14	11	12	16	14	16	20
19	0	15	18	16	12	18	15	15	14	14	14	12	13	17
14	15	0	8	20	10	18	24	9	20	14	11	11	19	15
13	18	8	0	17	14	12	14	10	15	13	12	11	8	13
17	16	20	17	0	14	10	19	19	17	20	20	14	17	16
10	12	10	14	14	0	12	15	10	20	13	12	14	12	14
12	18	18	12	10	12	0	12	15	9	15	12	16	14	15
10	15	24	14	19	15	12	0	11	13	12	14	9	15	7
14	15	9	10	19	10	15	11	0	15	11	16	23	15	13
11	14	20	15	17	20	9	13	15	0	19	21	15	13	10
12	14	14	13	20	13	15	12	11	19	0	22	10	11	12
16	14	11	12	20	12	12	14	16	21	22	0	15	11	17
14	12	11	11	14	14	16	9	23	15	10	15	0	8	21
16	13	19	8	17	12	14	15	15	13	11	11	8	0	20
20	17	15	13	16	14	15	7	13	10	12	17	21	20	0
