25	30
8	1	19	3	5	25	16	12	23	24	6	14	4	10	7	22	17	13	11	x	x	x	x	x	20	15	2	9	21	18
37444
0	13	26	25	17	11	17	16	25	13	14	16	17	11	13	21	8	17	27	23	14	17	25	17	15
13	0	17	21	14	15	8	11	27	19	13	17	26	11	20	17	15	16	18	17	19	18	16	17	17
26	17	0	21	22	17	10	20	20	17	11	22	23	15	22	17	18	20	20	10	13	15	21	15	14
25	21	21	0	16	23	23	12	17	17	19	19	26	24	19	21	22	20	23	12	16	14	15	19	15
17	14	22	16	0	22	20	11	23	17	13	15	25	20	16	20	11	18	15	14	19	13	18	12	27
11	15	17	23	22	0	19	10	11	21	16	25	14	20	11	23	15	15	11	21	16	17	25	18	24
17	8	10	23	20	19	0	10	16	22	24	14	22	18	18	19	23	15	22	9	12	25	14	26	18
16	11	20	12	11	10	10	0	13	21	17	15	17	12	17	19	9	21	19	11	18	11	18	18	16
25	27	20	17	23	11	16	13	0	12	14	21	31	14	17	14	23	29	17	19	19	14	17	14	11
13	19	17	17	17	21	22	21	12	0	11	15	21	20	16	24	24	20	22	24	12	23	18	14	18
14	13	11	19	13	16	24	17	14	11	0	15	25	14	10	13	17	18	18	16	13	18	20	16	12
16	17	22	19	15	25	14	15	21	15	15	0	14	21	16	27	20	28	19	20	7	23	24	26	20
17	26	23	26	25	14	22	17	31	21	25	14	0	21	24	18	25	13	13	21	8	22	23	21	16
11	11	15	24	20	20	18	12	14	20	14	21	21	0	15	14	11	13	18	16	14	9	21	17	15
13	20	22	19	16	11	18	17	17	16	10	16	24	15	0	20	17	18	19	19	15	17	21	8	17
21	17	17	21	20	23	19	19	14	24	13	27	18	14	20	0	14	17	17	21	20	13	18	24	14
8	15	18	22	11	15	23	9	23	24	17	20	25	11	17	14	0	10	19	16	16	24	16	13	13
17	16	20	20	18	15	15	21	29	20	18	28	13	13	18	17	10	0	17	24	18	18	19	14	20
27	18	20	23	15	11	22	19	17	22	18	19	13	18	19	17	19	17	0	16	18	18	14	21	22
23	17	10	12	14	21	9	11	19	24	16	20	21	16	19	21	16	24	16	0	16	16	11	11	14
14	19	13	16	19	16	12	18	19	12	13	7	8	14	15	20	16	18	18	16	0	15	21	16	11
17	18	15	14	13	17	25	11	14	23	18	23	22	9	17	13	24	18	18	16	15	0	22	19	16
25	16	21	15	18	25	14	18	17	18	20	24	23	21	21	18	16	19	14	11	21	22	0	22	19
17	17	15	19	12	18	26	18	14	14	16	26	21	17	8	24	13	14	21	11	16	19	22	0	19
15	17	14	15	27	24	18	16	11	18	12	20	16	15	17	14	13	20	22	14	11	16	19	19	0
