13	20
3	1	8	x	x	x	x	x	x	x	11	7	6	10	5	4	13	2	9	12
5781
0	13	26	25	17	11	17	16	25	13	14	16	17
13	0	17	21	14	15	8	11	27	19	13	17	26
26	17	0	21	22	17	10	20	20	17	11	22	23
25	21	21	0	16	23	23	12	17	17	19	19	26
17	14	22	16	0	22	20	11	23	17	13	15	25
11	15	17	23	22	0	19	10	11	21	16	25	14
17	8	10	23	20	19	0	10	16	22	24	14	22
16	11	20	12	11	10	10	0	13	21	17	15	17
25	27	20	17	23	11	16	13	0	12	14	21	31
13	19	17	17	17	21	22	21	12	0	11	15	21
14	13	11	19	13	16	24	17	14	11	0	15	25
16	17	22	19	15	25	14	15	21	15	15	0	14
17	26	23	26	25	14	22	17	31	21	25	14	0
